TOWARIDX;ACTIVE;PRODUCT_CODE;NAME;TAX_ID;UNIT;PRODUCER;CATEGORY
MAG5253ABG/MOR;1;MAG5253ABG/MOR;Blok dystrybucyjny HLAK 25 5P 2xAl/Cu 25mm2+16mm2 1000VAC/1500VDC szary niebieski zielony Morek MAG5253ABG;1;szt;MOREK;Bez kategorii
92501T48163/PCE;1;92501T48163/PCE;Przedłużacz bębnowy X-REEL 30m 4xGS16A IP20 PCE 92501T48163;1;szt;PCE;Bez kategorii
92501T48223/PCE;1;92501T48223/PCE;Przedłużacz bębnowy X-REEL 20m 4xGS16A IP20 PCE 92501T48223;1;szt;PCE;Bez kategorii
160815421W/PCE;1;160815421W/PCE;Gniazdo stałe COMBO-POL2 CEE 16A 5P 400V 2xGS16A Gniazdo stałe COMBO-POL2 160815421W PCE;1;szt;PCE;Bez kategorii
909110002W/PCE;1;909110002W/PCE;Rozdzielnica przenośna OPOLE CEE 16A 32A 4xGS16A Rozdzielnica OPOLE 909110002W PCE;1;szt;PCE;Bez kategorii
W-100518/PLST;1;W-100518/PLST;Przedłużacz bębnowy automatyczny 14+2m Plastrol W-100518;1;szt;Plastrol;Bez kategorii
W-00318/PLST;1;W-00318/PLST;Naświetlacz akumulatorowy LED KEL 40W 6500lm 4000mAh Plastrol W-00318;1;szt;Plastrol;Bez kategorii
W-00315/PLST;1;W-00315/PLST;Reflektor roboczy potrójny na statywie KEL 40W 3200lm Plastrol W-00315;1;szt;Plastrol;Bez kategorii
W-00354/PLST;1;W-00354/PLST;Listwa przepięciowa 6 gniazd 2P+Z USB-A USB Plastrol W-00354;1;szt;Plastrol;Bez kategorii
R-PCN18-27-XL2/RAW;1;R-PCN18-27-XL2/RAW;Osadzak akumulatorowy do betonu i stali 90J gwoździe 15-27mm Rawlplug R-PCN18-27-XL2;1;szt;RAWLPLUG;Bez kategorii
34117203/SIM;1;34117203/SIM;Puszka podtynkowa 128x65mm IP20 niebieska Simet 34117203;1;szt;SIMET;Bez kategorii
33069008/SIM;1;33069008/SIM;Puszka podtynkowa 65mm pomarańczowa Simet 33069008;1;szt;SIMET;Bez kategorii
32013203/SIM;1;32013203/SIM;Puszka do pustych ścian 68mm IP30 niebieska Simet 32013203;1;szt;SIMET;Bez kategorii
